R,G,B,Color
20,139,240,Azul
174,83,72,Marron
144,249,131,Verde
168,25,156,Rosa
30,182,136,Verde
199,150,175,Rosa
199,93,154,Rosa
231,243,25,Amarillo
48,213,76,Verde
38,3,64,Azul
82,181,56,Verde
249,99,108,Rosa
24,161,177,Azul
180,134,41,Marron
125,103,236,Azul
10,155,98,Verde
228,85,7,Naranja
249,15,198,Rosa
172,13,155,Rosa
215,195,149,Marron
250,146,229,Rosa
159,253,91,Verde
58,137,127,Verde
201,191,242,Violeta
253,208,44,Amarillo
95,189,94,Verde
119,183,248,Azul
71,45,228,Azul
161,229,147,Verde
202,21,34,Rojo
29,5,190,Azul
1,86,186,Azul
213,160,139,Marron
172,15,121,Rosa
127,240,90,Verde
7,160,197,Azul
187,191,105,Verde
37,233,32,Verde
101,40,153,Violeta
91,77,165,Violeta
216,154,222,Rosa
43,223,41,Verde
13,23,218,Azul
40,227,174,Verde
122,168,93,Verde
82,157,53,Verde
77,53,19,Marron
45,158,151,Verde
154,3,50,Rosa
138,214,179,Verde
28,154,202,Azul
126,111,138,Violeta
199,106,189,Rosa
121,110,237,Azul
83,225,69,Verde
22,68,79,Verde
165,140,146,Gris
205,6,230,Rosa
138,40,96,Rosa
237,99,167,Rosa
96,70,210,Azul
91,179,160,Verde
27,65,68,Verde
90,74,177,Azul
94,35,55,Marron
68,240,4,Verde
108,205,107,Verde
135,150,126,Verde
45,193,250,Azul
222,208,15,Amarillo
114,177,116,Verde
150,170,0,Verde
93,69,220,Azul
7,25,120,Azul
93,75,199,Azul
125,114,45,Verde
48,180,118,Verde
90,85,172,Azul
21,156,221,Azul
23,119,227,Azul
183,193,0,Amarillo
78,66,228,Azul
221,141,165,Rosa
50,131,120,Verde
237,227,32,Amarillo
25,124,117,Verde
184,185,99,Verde
60,11,184,Azul
128,203,17,Verde
176,34,118,Rosa
15,77,233,Azul
73,71,31,Gris
140,178,187,Azul
94,160,239,Azul
153,174,67,Verde
44,17,61,Violeta
22,73,181,Azul
241,147,43,Naranja
