R,G,B,Color
208,41,27,rojo
240,35,44,rojo
250,47,48,rojo
255,48,28,rojo
247,34,36,rojo
216,13,7,rojo
238,18,21,rojo
255,20,10,rojo
255,9,14,rojo
253,21,11,rojo
220,0,7,rojo
232,5,0,rojo
255,10,7,rojo
255,0,0,rojo
252,8,0,rojo
218,0,0,rojo
238,1,8,rojo
255,0,1,rojo
245,0,0,rojo
255,5,0,rojo
206,0,0,rojo
236,0,0,rojo
255,3,0,rojo
255,0,0,rojo
255,0,10,rojo
80,15,29,rojo_oscuro
106,25,39,rojo_oscuro
121,10,43,rojo_oscuro
145,31,61,rojo_oscuro
172,15,52,rojo_oscuro
95,5,29,rojo_oscuro
115,12,41,rojo_oscuro
131,8,46,rojo_oscuro
152,4,42,rojo_oscuro
168,12,53,rojo_oscuro
96,10,24,rojo_oscuro
113,0,30,rojo_oscuro
136,0,24,rojo_oscuro
143,0,27,rojo_oscuro
164,0,49,rojo_oscuro
90,2,12,rojo_oscuro
114,0,36,rojo_oscuro
130,0,33,rojo_oscuro
146,9,34,rojo_oscuro
171,3,40,rojo_oscuro
86,0,21,rojo_oscuro
100,0,33,rojo_oscuro
121,0,36,rojo_oscuro
138,2,26,rojo_oscuro
175,0,44,rojo_oscuro
206,88,33,rojo_naranja
240,82,33,rojo_naranja
255,101,44,rojo_naranja
251,96,35,rojo_naranja
255,89,45,rojo_naranja
212,68,24,rojo_naranja
244,85,13,rojo_naranja
255,72,11,rojo_naranja
246,85,26,rojo_naranja
255,89,14,rojo_naranja
224,49,7,rojo_naranja
226,61,1,rojo_naranja
255,62,8,rojo_naranja
255,61,0,rojo_naranja
255,73,0,rojo_naranja
221,62,8,rojo_naranja
233,71,0,rojo_naranja
255,76,0,rojo_naranja
255,75,2,rojo_naranja
253,75,7,rojo_naranja
223,56,5,rojo_naranja
242,63,0,rojo_naranja
246,68,1,rojo_naranja
255,72,0,rojo_naranja
247,77,5,rojo_naranja
221,114,22,naranja
225,137,26,naranja
255,152,33,naranja
255,147,48,naranja
255,138,46,naranja
222,116,8,naranja
243,118,26,naranja
249,142,14,naranja
255,143,23,naranja
245,137,13,naranja
213,104,0,naranja
239,117,0,naranja
250,119,0,naranja
251,128,10,naranja
253,129,0,naranja
222,117,6,naranja
244,124,6,naranja
255,127,1,naranja
249,137,0,naranja
255,128,1,naranja
210,103,0,naranja
240,111,9,naranja
255,135,9,naranja
255,120,0,naranja
255,128,0,naranja
216,141,92,coral
229,153,104,coral
250,164,120,coral
255,148,128,coral
249,149,108,coral
211,122,77,coral
243,126,91,coral
255,147,107,coral
255,149,105,coral
255,140,106,coral
207,106,63,coral
237,120,74,coral
255,119,83,coral
255,126,81,coral
255,134,80,coral
216,93,41,coral
227,109,46,coral
248,103,51,coral
255,123,65,coral
255,106,62,coral
223,78,41,coral
242,91,34,coral
253,108,31,coral
255,98,40,coral
255,107,48,coral
105,64,18,marron
114,62,30,marron
137,71,33,marron
156,90,46,marron
177,93,42,marron
106,47,12,marron
110,54,23,marron
134,66,32,marron
154,80,24,marron
180,88,38,marron
95,51,12,marron
118,64,25,marron
147,74,19,marron
152,86,28,marron
168,95,22,marron
91,51,1,marron
123,63,5,marron
138,57,6,marron
167,77,18,marron
170,78,10,marron
95,35,0,marron
128,46,0,marron
140,48,0,marron
152,71,0,marron
187,81,7,marron
174,105,50,ocre
175,112,68,ocre
202,137,54,ocre
225,144,73,ocre
241,169,76,ocre
162,100,44,ocre
176,107,50,ocre
199,128,53,ocre
231,137,55,ocre
232,160,60,ocre
160,93,22,ocre
186,98,40,ocre
200,127,28,ocre
216,122,39,ocre
240,150,41,ocre
160,86,5,ocre
180,102,20,ocre
198,117,17,ocre
229,124,12,ocre
249,134,22,ocre
172,82,7,ocre
189,83,10,ocre
213,106,12,ocre
224,105,6,ocre
248,132,7,ocre
169,141,58,dorado
195,149,59,dorado
217,175,57,dorado
246,199,69,dorado
252,204,76,dorado
169,137,35,dorado
202,149,45,dorado
228,161,41,dorado
235,190,51,dorado
255,207,62,dorado
175,130,22,dorado
203,156,33,dorado
211,155,33,dorado
231,173,42,dorado
255,203,33,dorado
177,135,13,dorado
207,146,23,dorado
227,162,6,dorado
240,174,26,dorado
255,177,18,dorado
179,119,0,dorado
199,144,0,dorado
220,154,5,dorado
237,169,0,dorado
255,177,3,dorado
223,188,30,oro
245,195,42,oro
254,217,43,oro
255,226,41,oro
255,229,46,oro
215,178,12,oro
230,193,18,oro
250,214,10,oro
255,216,27,oro
255,219,23,oro
213,174,0,oro
229,206,8,oro
255,209,8,oro
255,220,0,oro
255,218,3,oro
223,177,3,oro
231,198,3,oro
251,213,0,oro
254,209,2,oro
255,224,9,oro
214,176,0,oro
245,191,7,oro
255,218,4,oro
253,206,0,oro
253,216,8,oro
214,212,25,amarillo
231,238,36,amarillo
246,255,35,amarillo
255,255,44,amarillo
255,255,48,amarillo
210,225,12,amarillo
243,241,26,amarillo
253,253,12,amarillo
255,246,20,amarillo
251,245,9,amarillo
224,224,8,amarillo
229,241,7,amarillo
255,255,9,amarillo
250,254,9,amarillo
250,246,2,amarillo
216,221,2,amarillo
235,237,0,amarillo
255,250,0,amarillo
255,255,9,amarillo
255,255,0,amarillo
210,213,0,amarillo
231,228,2,amarillo
255,247,2,amarillo
254,252,0,amarillo
252,255,6,amarillo
209,197,209,gris_claro
230,224,233,gris_claro
245,248,246,blanco
255,255,255,blanco
253,253,255,blanco
213,201,194,gris_claro
225,223,224,gris_claro
244,253,237,blanco
246,254,255,blanco
254,253,246,blanco
197,199,180,gris_claro
219,232,199,gris_claro
255,245,210,gris_claro
252,255,218,gris_claro
252,253,218,gris_claro
204,198,173,gris_claro
227,215,194,gris_claro
241,243,206,gris_claro
254,251,218,gris_claro
255,249,213,gris_claro
201,209,147,beige
231,216,174,beige
250,236,184,beige
245,251,194,beige
255,255,186,beige
215,209,206,gris_claro
227,238,231,blanco
252,255,251,blanco
255,246,249,blanco
255,249,234,blanco
222,216,190,gris_claro
225,242,211,gris_claro
250,251,230,gris_claro
252,242,216,gris_claro
255,247,234,gris_claro
210,214,164,gris_claro
237,230,182,gris_claro
248,255,208,gris_claro
254,248,198,gris_claro
255,252,198,gris_claro
225,208,167,limon
226,221,171,limon
247,238,176,limon
253,238,188,limon
248,247,175,limon
217,199,150,limon
244,235,162,limon
255,241,175,limon
245,242,169,limon
252,239,169,limon
29,207,22,verde
34,242,36,verde
45,252,34,verde
33,250,44,verde
39,255,41,verde
11,206,16,verde
14,240,9,verde
28,255,26,verde
12,255,22,verde
15,247,19,verde
3,213,0,verde
0,234,0,verde
0,255,7,verde
0,255,3,verde
0,255,0,verde
0,206,8,verde
6,227,0,verde
3,247,0,verde
0,255,0,verde
0,246,0,verde
0,214,7,verde
9,235,6,verde
1,255,0,verde
0,255,8,verde
0,255,7,verde
21,84,12,verde_oscuro
10,107,8,verde_oscuro
13,136,25,verde_oscuro
30,153,29,verde_oscuro
28,156,19,verde_oscuro
5,80,0,verde_oscuro
11,113,10,verde_oscuro
